Categoria;Data ordine;Segmento;Obiettivo di vendita (Obiettivo di vendita)
Tecnologia;30/04/2021;Grandi aziende;1894
Forniture per ufficio;01/05/2021;Privati;1611
Forniture per ufficio;01/05/2021;Grandi aziende;21
Mobili;02/05/2021;Grandi aziende;92
Forniture per ufficio;02/05/2021;Privati;136
Forniture per ufficio;02/05/2021;Grandi aziende;174
Tecnologia;02/05/2021;Privati;275
Forniture per ufficio;03/05/2021;Privati;8
Forniture per ufficio;03/05/2021;Grandi aziende;148
Forniture per ufficio;03/05/2021;Piccole aziende;166
Forniture per ufficio;04/05/2021;Privati;741
Forniture per ufficio;05/05/2021;Grandi aziende;117
Mobili;06/05/2021;Privati;581
Forniture per ufficio;06/05/2021;Privati;562
Forniture per ufficio;06/05/2021;Grandi aziende;25
Forniture per ufficio;06/05/2021;Piccole aziende;222
Tecnologia;06/05/2021;Piccole aziende;317
Forniture per ufficio;07/05/2021;Privati;157
Forniture per ufficio;07/05/2021;Piccole aziende;206
Mobili;08/05/2021;Privati;324
Forniture per ufficio;08/05/2021;Privati;381
Forniture per ufficio;08/05/2021;Grandi aziende;279
Tecnologia;08/05/2021;Privati;105
Tecnologia;08/05/2021;Grandi aziende;414
Mobili;09/05/2021;Privati;216
Mobili;09/05/2021;Grandi aziende;153
Forniture per ufficio;09/05/2021;Grandi aziende;80
Tecnologia;09/05/2021;Privati;67
Mobili;10/05/2021;Privati;123
Forniture per ufficio;10/05/2021;Privati;125
Forniture per ufficio;10/05/2021;Grandi aziende;301
Forniture per ufficio;10/05/2021;Piccole aziende;165
Tecnologia;10/05/2021;Privati;1859
Mobili;11/05/2021;Grandi aziende;122
Tecnologia;11/05/2021;Grandi aziende;276
Forniture per ufficio;12/05/2021;Privati;76
Forniture per ufficio;12/05/2021;Piccole aziende;120
Forniture per ufficio;13/05/2021;Privati;780
Forniture per ufficio;13/05/2021;Grandi aziende;224
Mobili;14/05/2021;Grandi aziende;838
Forniture per ufficio;14/05/2021;Privati;777
Forniture per ufficio;14/05/2021;Piccole aziende;22
Tecnologia;14/05/2021;Grandi aziende;2590
Forniture per ufficio;15/05/2021;Privati;691
Forniture per ufficio;15/05/2021;Grandi aziende;104
Tecnologia;15/05/2021;Grandi aziende;673
Tecnologia;15/05/2021;Piccole aziende;158
Mobili;16/05/2021;Privati;675
Mobili;16/05/2021;Grandi aziende;959
Forniture per ufficio;16/05/2021;Privati;903
Forniture per ufficio;16/05/2021;Grandi aziende;24
Tecnologia;16/05/2021;Privati;3921
Mobili;17/05/2021;Grandi aziende;41
Forniture per ufficio;17/05/2021;Privati;38
Forniture per ufficio;17/05/2021;Grandi aziende;150
Tecnologia;17/05/2021;Privati;261
Forniture per ufficio;18/05/2021;Privati;427
Tecnologia;18/05/2021;Privati;124
Tecnologia;18/05/2021;Piccole aziende;230
Forniture per ufficio;20/05/2021;Piccole aziende;284
Mobili;21/05/2021;Privati;217
Forniture per ufficio;21/05/2021;Privati;96
Forniture per ufficio;21/05/2021;Grandi aziende;106
Mobili;22/05/2021;Grandi aziende;671
Forniture per ufficio;22/05/2021;Privati;884
Forniture per ufficio;22/05/2021;Grandi aziende;226
Tecnologia;22/05/2021;Privati;47
Tecnologia;22/05/2021;Grandi aziende;1005
Mobili;23/05/2021;Privati;229
Forniture per ufficio;24/05/2021;Privati;1084
Tecnologia;24/05/2021;Piccole aziende;567
Mobili;25/05/2021;Piccole aziende;1309
Forniture per ufficio;27/05/2021;Privati;122
Forniture per ufficio;27/05/2021;Grandi aziende;256
Tecnologia;27/05/2021;Privati;532
Tecnologia;27/05/2021;Grandi aziende;1031
Mobili;28/05/2021;Privati;1700
Forniture per ufficio;28/05/2021;Privati;377
Forniture per ufficio;28/05/2021;Grandi aziende;117
Tecnologia;28/05/2021;Privati;2227
Forniture per ufficio;29/05/2021;Piccole aziende;103
Tecnologia;29/05/2021;Privati;349
Mobili;30/05/2021;Privati;135
Forniture per ufficio;30/05/2021;Privati;581
Forniture per ufficio;30/05/2021;Grandi aziende;1603
Forniture per ufficio;30/05/2021;Piccole aziende;629
Tecnologia;30/05/2021;Privati;2345
Tecnologia;30/05/2021;Grandi aziende;2311
Tecnologia;30/05/2021;Piccole aziende;1690
Mobili;31/05/2021;Privati;994
Forniture per ufficio;31/05/2021;Privati;273
Forniture per ufficio;31/05/2021;Grandi aziende;88
Tecnologia;31/05/2021;Privati;302
Forniture per ufficio;01/06/2021;Privati;131
Forniture per ufficio;01/06/2021;Grandi aziende;285
Tecnologia;01/06/2021;Grandi aziende;767
Forniture per ufficio;02/06/2021;Privati;217
Forniture per ufficio;02/06/2021;Grandi aziende;136
Tecnologia;02/06/2021;Privati;1107
Mobili;03/06/2021;Privati;104
Forniture per ufficio;03/06/2021;Grandi aziende;3024
Forniture per ufficio;03/06/2021;Piccole aziende;328
Tecnologia;03/06/2021;Grandi aziende;393
Mobili;04/06/2021;Grandi aziende;103
Mobili;04/06/2021;Piccole aziende;188
Forniture per ufficio;04/06/2021;Grandi aziende;894
Forniture per ufficio;04/06/2021;Piccole aziende;483
Tecnologia;04/06/2021;Grandi aziende;6748
Tecnologia;04/06/2021;Piccole aziende;3418
Mobili;05/06/2021;Piccole aziende;64
Forniture per ufficio;05/06/2021;Privati;116
Forniture per ufficio;05/06/2021;Grandi aziende;313
Forniture per ufficio;05/06/2021;Piccole aziende;144
Tecnologia;05/06/2021;Grandi aziende;603
Mobili;06/06/2021;Grandi aziende;1031
Forniture per ufficio;06/06/2021;Privati;91
Forniture per ufficio;06/06/2021;Piccole aziende;51
Tecnologia;06/06/2021;Privati;391
Forniture per ufficio;07/06/2021;Privati;325
Forniture per ufficio;07/06/2021;Grandi aziende;198
Forniture per ufficio;07/06/2021;Piccole aziende;173
Tecnologia;07/06/2021;Privati;278
Tecnologia;07/06/2021;Piccole aziende;180
Mobili;08/06/2021;Privati;1579
Forniture per ufficio;08/06/2021;Privati;768
Forniture per ufficio;08/06/2021;Piccole aziende;30
Tecnologia;08/06/2021;Privati;1014
Mobili;09/06/2021;Privati;245
Forniture per ufficio;09/06/2021;Privati;44
Mobili;10/06/2021;Privati;228
Forniture per ufficio;10/06/2021;Privati;679
Forniture per ufficio;10/06/2021;Grandi aziende;3530
Tecnologia;10/06/2021;Privati;2686
Mobili;11/06/2021;Privati;319
Forniture per ufficio;11/06/2021;Privati;1083
Forniture per ufficio;11/06/2021;Piccole aziende;146
Tecnologia;11/06/2021;Privati;1379
Mobili;12/06/2021;Privati;512
Mobili;12/06/2021;Grandi aziende;66
Forniture per ufficio;12/06/2021;Privati;746
Forniture per ufficio;12/06/2021;Grandi aziende;17
Tecnologia;12/06/2021;Privati;650
Mobili;13/06/2021;Privati;997
Mobili;13/06/2021;Grandi aziende;402
Forniture per ufficio;13/06/2021;Privati;1558
Forniture per ufficio;13/06/2021;Grandi aziende;943
Forniture per ufficio;13/06/2021;Piccole aziende;272
Tecnologia;13/06/2021;Privati;443
Tecnologia;13/06/2021;Grandi aziende;152
Mobili;14/06/2021;Privati;1266
Forniture per ufficio;14/06/2021;Privati;233
Forniture per ufficio;14/06/2021;Piccole aziende;849
Tecnologia;14/06/2021;Privati;361
Tecnologia;14/06/2021;Grandi aziende;1490
Tecnologia;14/06/2021;Piccole aziende;2470
Mobili;15/06/2021;Grandi aziende;365
Forniture per ufficio;15/06/2021;Privati;1420
Forniture per ufficio;15/06/2021;Grandi aziende;476
Tecnologia;15/06/2021;Privati;1481
Tecnologia;15/06/2021;Grandi aziende;1027
Mobili;17/06/2021;Privati;1788
Mobili;17/06/2021;Grandi aziende;292
Forniture per ufficio;17/06/2021;Privati;324
Forniture per ufficio;17/06/2021;Grandi aziende;197
Forniture per ufficio;17/06/2021;Piccole aziende;145
Tecnologia;17/06/2021;Privati;1496
Tecnologia;17/06/2021;Grandi aziende;634
Tecnologia;17/06/2021;Piccole aziende;1885
Mobili;18/06/2021;Privati;463
Forniture per ufficio;18/06/2021;Privati;338
Forniture per ufficio;18/06/2021;Grandi aziende;50
Tecnologia;18/06/2021;Privati;3042
Tecnologia;18/06/2021;Piccole aziende;518
Mobili;19/06/2021;Privati;960
Forniture per ufficio;19/06/2021;Privati;135
Tecnologia;19/06/2021;Privati;80
Tecnologia;19/06/2021;Grandi aziende;574
Forniture per ufficio;20/06/2021;Privati;169
Mobili;21/06/2021;Privati;2380
Forniture per ufficio;21/06/2021;Privati;428
Forniture per ufficio;21/06/2021;Grandi aziende;55
Tecnologia;21/06/2021;Privati;392
Tecnologia;22/06/2021;Privati;421
Mobili;23/06/2021;Privati;417
Forniture per ufficio;23/06/2021;Privati;106
Tecnologia;23/06/2021;Privati;2335
Mobili;24/06/2021;Grandi aziende;259
Forniture per ufficio;24/06/2021;Privati;25
Forniture per ufficio;24/06/2021;Grandi aziende;552
Tecnologia;24/06/2021;Grandi aziende;3456
Mobili;25/06/2021;Grandi aziende;533
Forniture per ufficio;25/06/2021;Privati;82
Forniture per ufficio;25/06/2021;Grandi aziende;594
Forniture per ufficio;25/06/2021;Piccole aziende;105
Mobili;26/06/2021;Privati;1738
Mobili;26/06/2021;Grandi aziende;235
Forniture per ufficio;26/06/2021;Privati;821
Forniture per ufficio;26/06/2021;Grandi aziende;271
Tecnologia;26/06/2021;Privati;246
Mobili;27/06/2021;Privati;2427
Mobili;27/06/2021;Grandi aziende;208
Forniture per ufficio;27/06/2021;Privati;61
Forniture per ufficio;27/06/2021;Grandi aziende;211
Tecnologia;27/06/2021;Privati;280
Tecnologia;27/06/2021;Grandi aziende;457
Mobili;28/06/2021;Privati;428
Mobili;28/06/2021;Piccole aziende;469
Forniture per ufficio;28/06/2021;Privati;341
Forniture per ufficio;28/06/2021;Grandi aziende;1798
Forniture per ufficio;28/06/2021;Piccole aziende;2216
Tecnologia;28/06/2021;Privati;263
Tecnologia;28/06/2021;Grandi aziende;1876
Mobili;29/06/2021;Privati;1725
Mobili;29/06/2021;Piccole aziende;336
Forniture per ufficio;29/06/2021;Privati;506
Forniture per ufficio;29/06/2021;Piccole aziende;39
Tecnologia;29/06/2021;Privati;742
Forniture per ufficio;01/07/2021;Privati;245
Tecnologia;01/07/2021;Privati;839
Mobili;02/07/2021;Privati;839
Mobili;02/07/2021;Grandi aziende;1075
Forniture per ufficio;02/07/2021;Grandi aziende;733
Forniture per ufficio;02/07/2021;Piccole aziende;45
Tecnologia;02/07/2021;Grandi aziende;1437
Forniture per ufficio;03/07/2021;Privati;274
Forniture per ufficio;03/07/2021;Grandi aziende;2354
Tecnologia;03/07/2021;Privati;17
Tecnologia;03/07/2021;Grandi aziende;1558
Mobili;04/07/2021;Grandi aziende;116
Forniture per ufficio;04/07/2021;Grandi aziende;63
Tecnologia;04/07/2021;Piccole aziende;1945
Forniture per ufficio;05/07/2021;Piccole aziende;72
Mobili;06/07/2021;Grandi aziende;352
Forniture per ufficio;06/07/2021;Privati;146
Tecnologia;06/07/2021;Privati;530
Tecnologia;06/07/2021;Grandi aziende;486
Mobili;08/07/2021;Privati;187
Forniture per ufficio;08/07/2021;Privati;4387
Forniture per ufficio;08/07/2021;Piccole aziende;396
Tecnologia;08/07/2021;Privati;3390
Mobili;09/07/2021;Privati;291
Forniture per ufficio;09/07/2021;Privati;51
Forniture per ufficio;09/07/2021;Grandi aziende;259
Forniture per ufficio;09/07/2021;Piccole aziende;110
Tecnologia;09/07/2021;Grandi aziende;890
Forniture per ufficio;10/07/2021;Grandi aziende;7
Mobili;11/07/2021;Privati;229
Mobili;11/07/2021;Grandi aziende;439
Forniture per ufficio;11/07/2021;Grandi aziende;780
Forniture per ufficio;11/07/2021;Piccole aziende;41
Tecnologia;11/07/2021;Privati;1658
Tecnologia;11/07/2021;Grandi aziende;741
Tecnologia;11/07/2021;Piccole aziende;399
Mobili;12/07/2021;Grandi aziende;122
Forniture per ufficio;12/07/2021;Piccole aziende;1579
Tecnologia;12/07/2021;Piccole aziende;867
Mobili;13/07/2021;Grandi aziende;49
Mobili;14/07/2021;Grandi aziende;592
Forniture per ufficio;14/07/2021;Privati;197
Forniture per ufficio;14/07/2021;Grandi aziende;195
Mobili;15/07/2021;Privati;3018
Mobili;15/07/2021;Grandi aziende;18
Mobili;15/07/2021;Piccole aziende;162
Forniture per ufficio;15/07/2021;Privati;90
Forniture per ufficio;15/07/2021;Grandi aziende;314
Forniture per ufficio;15/07/2021;Piccole aziende;1413
Tecnologia;15/07/2021;Piccole aziende;1424
Forniture per ufficio;16/07/2021;Grandi aziende;209
Mobili;17/07/2021;Piccole aziende;236
Forniture per ufficio;17/07/2021;Piccole aziende;194
Forniture per ufficio;18/07/2021;Privati;43
Tecnologia;18/07/2021;Privati;904
Forniture per ufficio;19/07/2021;Grandi aziende;213
Mobili;20/07/2021;Privati;1290
Forniture per ufficio;20/07/2021;Privati;671
Tecnologia;20/07/2021;Privati;1202
Forniture per ufficio;22/07/2021;Privati;437
Forniture per ufficio;22/07/2021;Grandi aziende;429
Tecnologia;22/07/2021;Privati;3048
Forniture per ufficio;23/07/2021;Privati;77
Forniture per ufficio;23/07/2021;Grandi aziende;14
Forniture per ufficio;23/07/2021;Piccole aziende;1228
Tecnologia;23/07/2021;Privati;271
Mobili;24/07/2021;Grandi aziende;301
Forniture per ufficio;24/07/2021;Privati;599
Forniture per ufficio;24/07/2021;Grandi aziende;94
Mobili;25/07/2021;Privati;620
Mobili;25/07/2021;Piccole aziende;3142
Forniture per ufficio;25/07/2021;Privati;81
Forniture per ufficio;25/07/2021;Grandi aziende;144
Forniture per ufficio;25/07/2021;Piccole aziende;371
Tecnologia;25/07/2021;Privati;283
Tecnologia;25/07/2021;Grandi aziende;226
Tecnologia;25/07/2021;Piccole aziende;469
Mobili;26/07/2021;Grandi aziende;979
Forniture per ufficio;26/07/2021;Grandi aziende;60
Tecnologia;26/07/2021;Grandi aziende;198
Mobili;29/07/2021;Privati;753
Forniture per ufficio;29/07/2021;Privati;91
Forniture per ufficio;30/07/2021;Privati;85
Forniture per ufficio;30/07/2021;Grandi aziende;141
Tecnologia;30/07/2021;Grandi aziende;827
Mobili;31/07/2021;Privati;79
Forniture per ufficio;31/07/2021;Privati;35
Tecnologia;31/07/2021;Privati;443
Mobili;01/08/2021;Privati;455
Mobili;01/08/2021;Grandi aziende;1813
Forniture per ufficio;01/08/2021;Privati;166
Forniture per ufficio;01/08/2021;Grandi aziende;534
Tecnologia;01/08/2021;Privati;1197
Tecnologia;01/08/2021;Piccole aziende;670
Forniture per ufficio;02/08/2021;Privati;40
Forniture per ufficio;02/08/2021;Grandi aziende;33
Forniture per ufficio;02/08/2021;Piccole aziende;43
Tecnologia;02/08/2021;Privati;400
Tecnologia;03/08/2021;Grandi aziende;1074
Mobili;04/08/2021;Piccole aziende;49
Mobili;05/08/2021;Privati;1262
Forniture per ufficio;05/08/2021;Privati;710
Forniture per ufficio;05/08/2021;Grandi aziende;112
Forniture per ufficio;05/08/2021;Piccole aziende;561
Tecnologia;05/08/2021;Piccole aziende;22
Mobili;06/08/2021;Privati;24
Forniture per ufficio;06/08/2021;Privati;1814
Forniture per ufficio;06/08/2021;Grandi aziende;275
Forniture per ufficio;06/08/2021;Piccole aziende;194
Tecnologia;06/08/2021;Privati;111
Tecnologia;06/08/2021;Piccole aziende;1248
Mobili;07/08/2021;Grandi aziende;87
Forniture per ufficio;07/08/2021;Privati;474
Forniture per ufficio;07/08/2021;Grandi aziende;1830
Forniture per ufficio;07/08/2021;Piccole aziende;140
Tecnologia;07/08/2021;Grandi aziende;261
Tecnologia;07/08/2021;Piccole aziende;411
Mobili;08/08/2021;Grandi aziende;1576
Forniture per ufficio;08/08/2021;Privati;550
Forniture per ufficio;08/08/2021;Grandi aziende;337
Mobili;09/08/2021;Privati;46
Mobili;09/08/2021;Grandi aziende;316
Mobili;09/08/2021;Piccole aziende;509
Forniture per ufficio;09/08/2021;Privati;161
Forniture per ufficio;09/08/2021;Grandi aziende;388
Forniture per ufficio;09/08/2021;Piccole aziende;284
Tecnologia;09/08/2021;Privati;1189
Mobili;10/08/2021;Privati;548
Forniture per ufficio;10/08/2021;Privati;53
Forniture per ufficio;10/08/2021;Grandi aziende;954
Tecnologia;10/08/2021;Grandi aziende;1218
Forniture per ufficio;11/08/2021;Grandi aziende;348
Forniture per ufficio;11/08/2021;Piccole aziende;216
Tecnologia;11/08/2021;Piccole aziende;309
Mobili;12/08/2021;Privati;259
Forniture per ufficio;12/08/2021;Privati;1153
Forniture per ufficio;12/08/2021;Grandi aziende;68
Forniture per ufficio;12/08/2021;Piccole aziende;179
Tecnologia;12/08/2021;Privati;309
Mobili;13/08/2021;Privati;700
Forniture per ufficio;13/08/2021;Privati;222
Forniture per ufficio;13/08/2021;Grandi aziende;311
Forniture per ufficio;13/08/2021;Piccole aziende;171
Tecnologia;13/08/2021;Privati;2104
Tecnologia;13/08/2021;Grandi aziende;349
Mobili;14/08/2021;Privati;1058
Forniture per ufficio;14/08/2021;Privati;646
Forniture per ufficio;14/08/2021;Piccole aziende;164
Tecnologia;14/08/2021;Privati;1333
Mobili;15/08/2021;Privati;330
Mobili;15/08/2021;Grandi aziende;819
Forniture per ufficio;15/08/2021;Grandi aziende;256
Forniture per ufficio;15/08/2021;Piccole aziende;292
Mobili;16/08/2021;Privati;1536
Mobili;16/08/2021;Grandi aziende;2969
Mobili;16/08/2021;Piccole aziende;1156
Forniture per ufficio;16/08/2021;Privati;916
Forniture per ufficio;16/08/2021;Grandi aziende;386
Forniture per ufficio;16/08/2021;Piccole aziende;15
Tecnologia;16/08/2021;Grandi aziende;241
Mobili;17/08/2021;Grandi aziende;1277
Forniture per ufficio;17/08/2021;Grandi aziende;312
Tecnologia;17/08/2021;Grandi aziende;610
Forniture per ufficio;19/08/2021;Privati;2282
Mobili;20/08/2021;Privati;1037
Forniture per ufficio;20/08/2021;Privati;1362
Forniture per ufficio;20/08/2021;Grandi aziende;99
Forniture per ufficio;20/08/2021;Piccole aziende;101
Tecnologia;20/08/2021;Piccole aziende;271
Mobili;21/08/2021;Privati;136
Forniture per ufficio;21/08/2021;Privati;449
Forniture per ufficio;21/08/2021;Grandi aziende;239
Forniture per ufficio;21/08/2021;Piccole aziende;468
Tecnologia;21/08/2021;Piccole aziende;541
Forniture per ufficio;22/08/2021;Privati;140
Forniture per ufficio;22/08/2021;Piccole aziende;165
Tecnologia;22/08/2021;Privati;481
Tecnologia;22/08/2021;Piccole aziende;388
Mobili;23/08/2021;Privati;611
Forniture per ufficio;23/08/2021;Privati;1123
Forniture per ufficio;23/08/2021;Grandi aziende;261
Forniture per ufficio;23/08/2021;Piccole aziende;85
Tecnologia;23/08/2021;Privati;94
Mobili;24/08/2021;Piccole aziende;535
Forniture per ufficio;24/08/2021;Privati;329
Forniture per ufficio;24/08/2021;Grandi aziende;78
Forniture per ufficio;24/08/2021;Piccole aziende;89
Tecnologia;24/08/2021;Privati;386
Tecnologia;24/08/2021;Piccole aziende;498
Forniture per ufficio;25/08/2021;Privati;134
Forniture per ufficio;25/08/2021;Grandi aziende;180
Forniture per ufficio;26/08/2021;Privati;168
Tecnologia;26/08/2021;Privati;396
Mobili;27/08/2021;Privati;589
Mobili;27/08/2021;Grandi aziende;378
Mobili;27/08/2021;Piccole aziende;1437
Forniture per ufficio;27/08/2021;Privati;488
Forniture per ufficio;27/08/2021;Grandi aziende;396
Forniture per ufficio;27/08/2021;Piccole aziende;361
Tecnologia;27/08/2021;Grandi aziende;714
Mobili;28/08/2021;Privati;789
Mobili;28/08/2021;Grandi aziende;216
Forniture per ufficio;28/08/2021;Privati;622
Forniture per ufficio;28/08/2021;Grandi aziende;209
Forniture per ufficio;28/08/2021;Piccole aziende;562
Tecnologia;28/08/2021;Privati;328
Mobili;29/08/2021;Privati;408
Forniture per ufficio;29/08/2021;Privati;944
Tecnologia;29/08/2021;Privati;148
Mobili;30/08/2021;Privati;404
Forniture per ufficio;30/08/2021;Privati;620
Forniture per ufficio;30/08/2021;Grandi aziende;497
Forniture per ufficio;30/08/2021;Piccole aziende;138
Tecnologia;30/08/2021;Grandi aziende;256
Mobili;31/08/2021;Grandi aziende;575
Forniture per ufficio;31/08/2021;Privati;29
Forniture per ufficio;31/08/2021;Grandi aziende;2060
Tecnologia;31/08/2021;Privati;648
Tecnologia;31/08/2021;Grandi aziende;2366
Mobili;02/09/2021;Privati;284
Forniture per ufficio;02/09/2021;Privati;28
Forniture per ufficio;02/09/2021;Grandi aziende;34
Forniture per ufficio;02/09/2021;Piccole aziende;403
Tecnologia;02/09/2021;Grandi aziende;511
Tecnologia;02/09/2021;Piccole aziende;87
Forniture per ufficio;03/09/2021;Privati;325
Forniture per ufficio;03/09/2021;Grandi aziende;17
Forniture per ufficio;03/09/2021;Piccole aziende;3451
Tecnologia;03/09/2021;Privati;103
Mobili;04/09/2021;Privati;859
Mobili;04/09/2021;Piccole aziende;864
Forniture per ufficio;04/09/2021;Privati;106
Forniture per ufficio;04/09/2021;Grandi aziende;621
Forniture per ufficio;04/09/2021;Piccole aziende;55
Tecnologia;04/09/2021;Privati;619
Mobili;05/09/2021;Privati;1609
Forniture per ufficio;05/09/2021;Privati;1883
Forniture per ufficio;05/09/2021;Grandi aziende;235
Tecnologia;05/09/2021;Privati;1032
Tecnologia;05/09/2021;Grandi aziende;2698
Forniture per ufficio;06/09/2021;Privati;185
Forniture per ufficio;06/09/2021;Grandi aziende;151
Tecnologia;06/09/2021;Privati;1173
Mobili;07/09/2021;Privati;35
Forniture per ufficio;07/09/2021;Privati;191
Tecnologia;07/09/2021;Privati;163
Mobili;09/09/2021;Grandi aziende;455
Mobili;09/09/2021;Piccole aziende;41
Forniture per ufficio;09/09/2021;Privati;2194
Forniture per ufficio;09/09/2021;Grandi aziende;1534
Forniture per ufficio;09/09/2021;Piccole aziende;355
Tecnologia;09/09/2021;Piccole aziende;141
Mobili;10/09/2021;Privati;4036
Mobili;10/09/2021;Piccole aziende;284
Forniture per ufficio;10/09/2021;Privati;774
Forniture per ufficio;10/09/2021;Piccole aziende;106
Tecnologia;10/09/2021;Privati;1484
Tecnologia;10/09/2021;Piccole aziende;222
Mobili;11/09/2021;Grandi aziende;189
Forniture per ufficio;11/09/2021;Privati;51
Forniture per ufficio;11/09/2021;Grandi aziende;330
Mobili;12/09/2021;Privati;68
Mobili;12/09/2021;Grandi aziende;2001
Mobili;12/09/2021;Piccole aziende;353
Forniture per ufficio;12/09/2021;Privati;33
Forniture per ufficio;12/09/2021;Grandi aziende;1077
Tecnologia;12/09/2021;Privati;73
Tecnologia;12/09/2021;Grandi aziende;1277
Forniture per ufficio;13/09/2021;Grandi aziende;149
Forniture per ufficio;13/09/2021;Piccole aziende;71
Mobili;14/09/2021;Privati;693
Mobili;14/09/2021;Grandi aziende;339
Forniture per ufficio;14/09/2021;Privati;286
Forniture per ufficio;14/09/2021;Grandi aziende;355
Forniture per ufficio;14/09/2021;Piccole aziende;467
Tecnologia;14/09/2021;Privati;1380
Tecnologia;14/09/2021;Grandi aziende;2460
Tecnologia;15/09/2021;Privati;79
Mobili;16/09/2021;Privati;237
Mobili;16/09/2021;Piccole aziende;25
Forniture per ufficio;16/09/2021;Privati;2023
Forniture per ufficio;16/09/2021;Grandi aziende;261
Forniture per ufficio;16/09/2021;Piccole aziende;278
Tecnologia;16/09/2021;Privati;320
Tecnologia;16/09/2021;Grandi aziende;1031
Tecnologia;16/09/2021;Piccole aziende;2542
Mobili;17/09/2021;Privati;38
Mobili;17/09/2021;Piccole aziende;2703
Forniture per ufficio;17/09/2021;Privati;277
Forniture per ufficio;17/09/2021;Piccole aziende;555
Forniture per ufficio;18/09/2021;Privati;121
Forniture per ufficio;18/09/2021;Grandi aziende;126
Tecnologia;18/09/2021;Privati;539
Tecnologia;18/09/2021;Grandi aziende;209
Forniture per ufficio;19/09/2021;Privati;226
Forniture per ufficio;19/09/2021;Grandi aziende;30
Tecnologia;19/09/2021;Privati;142
Mobili;20/09/2021;Privati;506
Forniture per ufficio;20/09/2021;Privati;1002
Forniture per ufficio;20/09/2021;Grandi aziende;143
Forniture per ufficio;20/09/2021;Piccole aziende;81
Tecnologia;20/09/2021;Privati;809
Tecnologia;20/09/2021;Grandi aziende;1132
Tecnologia;20/09/2021;Piccole aziende;314
Mobili;21/09/2021;Privati;320
Mobili;21/09/2021;Grandi aziende;62
Mobili;21/09/2021;Piccole aziende;1401
Forniture per ufficio;21/09/2021;Privati;200
Forniture per ufficio;21/09/2021;Grandi aziende;97
Tecnologia;21/09/2021;Privati;592
Tecnologia;21/09/2021;Grandi aziende;173
Mobili;23/09/2021;Privati;854
Forniture per ufficio;23/09/2021;Privati;509
Forniture per ufficio;23/09/2021;Grandi aziende;161
Forniture per ufficio;23/09/2021;Piccole aziende;65
Forniture per ufficio;24/09/2021;Privati;1219
Forniture per ufficio;24/09/2021;Grandi aziende;156
Tecnologia;24/09/2021;Grandi aziende;635
Mobili;25/09/2021;Grandi aziende;828
Forniture per ufficio;25/09/2021;Privati;1199
Forniture per ufficio;25/09/2021;Grandi aziende;289
Forniture per ufficio;25/09/2021;Piccole aziende;246
Tecnologia;25/09/2021;Privati;449
Tecnologia;25/09/2021;Grandi aziende;422
Tecnologia;25/09/2021;Piccole aziende;287
Mobili;26/09/2021;Privati;621
Forniture per ufficio;26/09/2021;Privati;197
Forniture per ufficio;26/09/2021;Grandi aziende;41
Forniture per ufficio;26/09/2021;Piccole aziende;48
Tecnologia;26/09/2021;Grandi aziende;1167
Mobili;27/09/2021;Privati;1196
Mobili;27/09/2021;Piccole aziende;435
Forniture per ufficio;27/09/2021;Privati;736
Forniture per ufficio;27/09/2021;Grandi aziende;185
Forniture per ufficio;27/09/2021;Piccole aziende;844
Tecnologia;27/09/2021;Privati;84
Tecnologia;27/09/2021;Grandi aziende;2088
Mobili;28/09/2021;Privati;69
Mobili;28/09/2021;Grandi aziende;1224
Forniture per ufficio;28/09/2021;Privati;57
Forniture per ufficio;28/09/2021;Grandi aziende;463
Tecnologia;28/09/2021;Grandi aziende;1151
Mobili;29/09/2021;Privati;892
Forniture per ufficio;29/09/2021;Privati;25
Mobili;30/09/2021;Privati;589
Forniture per ufficio;30/09/2021;Privati;562
Tecnologia;30/09/2021;Privati;1498
Forniture per ufficio;01/10/2021;Privati;34
Forniture per ufficio;01/10/2021;Piccole aziende;83
Forniture per ufficio;03/10/2021;Privati;247
Forniture per ufficio;03/10/2021;Piccole aziende;128
Mobili;04/10/2021;Grandi aziende;490
Mobili;04/10/2021;Piccole aziende;466
Forniture per ufficio;04/10/2021;Privati;148
Tecnologia;04/10/2021;Privati;1392
Tecnologia;04/10/2021;Grandi aziende;290
Mobili;05/10/2021;Privati;395
Forniture per ufficio;05/10/2021;Grandi aziende;20
Tecnologia;05/10/2021;Grandi aziende;571
Tecnologia;07/10/2021;Privati;143
Mobili;08/10/2021;Privati;573
Forniture per ufficio;08/10/2021;Privati;225
Tecnologia;08/10/2021;Privati;583
Tecnologia;08/10/2021;Grandi aziende;1622
Mobili;09/10/2021;Privati;363
Forniture per ufficio;09/10/2021;Privati;286
Tecnologia;09/10/2021;Privati;473
Mobili;10/10/2021;Piccole aziende;402
Tecnologia;10/10/2021;Privati;286
Tecnologia;10/10/2021;Grandi aziende;628
Mobili;11/10/2021;Privati;805
Mobili;11/10/2021;Grandi aziende;248
Forniture per ufficio;11/10/2021;Privati;546
Forniture per ufficio;11/10/2021;Piccole aziende;31
Tecnologia;11/10/2021;Privati;1968
Forniture per ufficio;12/10/2021;Privati;582
Forniture per ufficio;12/10/2021;Piccole aziende;48
Tecnologia;12/10/2021;Privati;1503
Mobili;14/10/2021;Grandi aziende;112
Forniture per ufficio;14/10/2021;Privati;515
Forniture per ufficio;14/10/2021;Grandi aziende;37
